city,aqi,class,date,time(XX:00)
沈阳,60,良,2018_1_2,15
大连,59,良,2018_1_2,15
鞍山,52,良,2018_1_2,15
抚顺,72,良,2018_1_2,15
本溪,67,良,2018_1_2,15
丹东,28,优,2018_1_2,15
锦州,68,良,2018_1_2,15
营口,39,优,2018_1_2,15
阜新,56,良,2018_1_2,15
辽阳,59,良,2018_1_2,15
盘锦,42,优,2018_1_2,15
铁岭,67,良,2018_1_2,15
朝阳,50,优,2018_1_2,15
葫芦岛,34,优,2018_1_2,15
哈尔滨,65,良,2018_1_2,15
齐齐哈尔,143,轻度污染,2018_1_2,15
牡丹江,37,优,2018_1_2,15
佳木斯,49,优,2018_1_2,15
大庆,80,良,2018_1_2,15
伊春,59,良,2018_1_2,15
鸡西,33,优,2018_1_2,15
鹤岗,60,良,2018_1_2,15
双鸭山,55,良,2018_1_2,15
七台河,54,良,2018_1_2,15
绥化,67,良,2018_1_2,15
黑河,78,良,2018_1_2,15
大兴安岭地区,22,优,2018_1_2,15
长春,51,良,2018_1_2,15
吉林,29,优,2018_1_2,15
四平,45,优,2018_1_2,15
辽源,64,良,2018_1_2,15
通化,73,良,2018_1_2,15
白山,53,良,2018_1_2,15
白城,57,良,2018_1_2,15
松原,68,良,2018_1_2,15
延边州,18,优,2018_1_2,15
